city	country	lat	lon	PM25
Liaocheng	China	36.45703	115.98546	63
Bangalore	India	12.971599	77.594563	63
Jinhua	China	29.079175	119.647421	63
Mumbai	India	19.075984	72.877656	63
Huzhou	China	30.894348	120.086823	63
Linfen	China	36.088005	111.518976	62
Al Gharbia - Bida Zayed	United Arab Emirates	#N/A	#N/A	62
Xining	China	36.617134	101.778224	62
Sylhet	Bangladesh	24.904539	91.861101	61
Kolkata	India	22.572646	88.363895	61
Chongqing	China	29.56301	106.551556	61
SIIRT	Turkey	37.927404	41.941978	61
Taizhou	China	28.65638	121.42076	61
Al Gharbia - Gayathi	United Arab Emirates	23.806835	52.745594	61
Khulna	Bangladesh	22.845641	89.540328	61
Wuhu	China	31.352859	118.432941	61
Lianyungang	China	34.596653	119.221611	61
Hangzhou	China	30.274085	120.15507	61
Hartebeespoort	South Africa	-25.747732	27.887178	60
Heze	China	35.23375	115.480656	60
Qinhuangdao	China	39.935385	119.600493	60
Zhangjiagang	China	31.875572	120.556005	60
AFYON	Turkey	38.756885	30.538704	60
Nantong	China	31.980172	120.894291	60
Fuyang	China	32.890124	115.814205	60
Dezhou	China	37.434093	116.357465	59
Chandigarh	India	30.733315	76.779418	59
Kolhapur	India	16.704987	74.243253	59
Jhansi	India	25.448426	78.568459	59
Hyderabad	India	17.385044	78.486671	59
Wafangdian	China	39.627114	121.979603	59
Yiwu	China	29.306757	120.07514	59
Zhuji	China	29.708692	120.246863	59
Lanzhou	China	36.061089	103.834304	58
Rishikesh	India	30.086928	78.267612	58
Sibsagar	India	26.98261	94.642452	58
Al-Rumaithyia	Kuwait	29.316733	48.076865	58
Nabih Saleh	Bahrain	26.182327	50.584754	58
Pingdu	China	36.776358	119.98842	58
Durgapur	India	23.520444	87.311923	58
Korla	China	41.725891	86.174633	58
Lin'an	China	30.233873	119.724733	58
Maanshan	China	31.670452	118.50676	57
Quzhou	China	28.97008	118.859457	57
Yancheng	China	33.347316	120.16366	57
Nanchong	China	30.837793	106.110698	57
KARAMAN	Turkey	37.181009	33.222243	57
Angul	India	20.844403	85.151082	57
Jiaxing	China	30.753924	120.758543	56
Panjin	China	41.119997	122.070714	56
Wujiang	China	31.138677	120.645158	56
Al Gharbia - Liwa Oasis	United Arab Emirates	23.002222	53.468611	56
Luoyang	China	34.619683	112.45404	56
Dalian	China	38.914003	121.614682	56
Laizhou	China	37.177017	119.942327	56
Abu Dhabi	United Arab Emirates	24.299174	54.697277	56
Huludao	China	40.711041	120.83694	56
Laixi	China	36.889084	120.51769	56
Linyi	China	35.104674	118.356414	56
Jinzhou	China	39.05046	121.782769	55
Taian	China	36.200252	117.087614	55
Guilin	China	25.234479	110.179954	55
Bhilai	India	21.193848	81.350942	55
Nagda	India	23.44546	75.416992	55
Zhaoqing	China	23.047192	112.465091	55
Nagpur	India	21.1458	79.088155	55
Vadodara	India	22.307159	73.181219	55
Taicang	China	31.457735	121.13055	55
Zhaoyuan	China	37.355469	120.434072	55
Zibo	China	36.813487	118.054927	55
Jamnagar	India	22.470702	70.05773	54
Jining	China	35.414982	116.587282	54
Yixing	China	31.340637	119.823308	54
Al-Zarqa'	Jordan	32.080953	36.105854	54
Dongying	China	37.434751	118.674767	54
Amravati	India	20.937424	77.779551	54
IGDIR	Turkey	39.92006	44.043615	54
Vapi	India	20.389315	72.91062	54
Benxi	China	41.486981	123.685143	54
Kermanshah	Iran	34.31375	47.053682	53
Anklesvar	India	21.626424	73.015198	53
Chengde	China	40.952942	117.96275	53
Baddi	India	30.957826	76.791356	53
Binzhou	China	37.38198	117.9707	53
Fushun	China	41.880872	123.957208	53
Changde	China	29.031673	111.698497	53
Rajkot	India	22.303894	70.80216	53
Jiaonan	China	28.290125	102.19239	53
Jiaozhou	China	36.26468	120.033382	53
Rourkela	India	22.260423	84.853584	52
ISPARTA	Turkey	37.762649	30.553705	52
DUZCE	Turkey	40.83872	31.162609	52
Al Ain	United Arab Emirates	24.130162	55.802312	52
Liyang	China	31.416911	119.484211	52
Surat	India	21.17024	72.831061	52
Jinan	China	36.651216	117.12	52
Shanghai	China	31.230416	121.473701	52
Yibin	China	28.751769	104.643215	52
BITLIS	Turkey	38.400569	42.109502	51
Tshwane [Pretoria]	South Africa	-25.747868	28.229271	51
Baotou	China	40.657378	109.840349	51
Haimen	China	31.871173	121.181615	51
Jimo	China	36.389402	120.447161	51
Nashik	India	19.997453	73.789802	51
Lima	Peru	-12.046374	-77.042793	51
Nyaung Oo	Myanmar	21.177252	94.924707	51
CANKIRI	Turkey	40.600207	33.616223	50
Jilin	China	43.837883	126.549572	50
MUS	Turkey	38.734561	41.491038	50
SAKARYA	Turkey	40.773074	30.394817	50
Mudanjiang	China	44.551653	129.633169	50
OSMANIYE	Turkey	37.074628	36.2464	50
Luzhou	China	28.871811	105.442258	50
Kyauk Pa Taung	Myanmar	20.844344	95.127572	50
Aba	Nigeria	5.121588	7.373266	49
Pune	India	18.52043	73.856744	49
Zunyi	China	27.725654	106.927389	49
Guwahati	India	26.144517	91.736237	49
Kathmandu	Nepal	27.717245	85.32396	49
Dewas	India	22.962267	76.050795	49
Changshu	China	31.654376	120.752481	49
Yaoudé	Cameroon	3.848032	11.502075	49
Dandong	China	40.000787	124.354451	49
Al-Jahra	Kuwait	29.336573	47.675529	49
BOLU	Turkey	40.732541	31.608209	49
Guiyang	China	26.647661	106.630154	49
Weifang	China	36.706962	119.161749	49
NIGDE	Turkey	37.969774	34.676608	49
Nanchang	China	28.682892	115.858198	49
Yueyang	China	29.356804	113.12873	49
Silchar	India	24.833271	92.778905	48
Shaoguan	China	24.810329	113.597547	48
Yan'an	China	36.585445	109.489757	48
Zaozhuang	China	34.810488	117.323725	48
Jintan	China	31.723248	119.597897	48
Rushan	China	36.919816	121.539764	48
Dimapur	India	25.862989	93.753666	48
Guangzhou	China	23.12911	113.264385	48
BURDUR	Turkey	37.718336	30.282333	47
Al-Mutla	Kuwait	29.414444	47.678333	47
Naya Nangal	India	31.38664	76.355046	47
Nanning	China	22.817002	108.366543	47
Yinchuan	China	38.487194	106.230909	47
Zhangqiu	China	36.681259	117.526228	47
ANKARA	Turkey	39.933363	32.859742	47
Hamadan	Iran	34.798857	48.515022	47
KUTAHYA	Turkey	39.419955	29.985732	47
KAYSERI	Turkey	38.720489	35.482597	47
Zhangjiajie	China	29.117096	110.479191	47
Pakdasht	Iran	#N/A	#N/A	47
Saad Al-Abdullah	Kuwait	29.313868	47.719386	46
Wendeng	China	37.193886	122.057941	46
Qingdao	China	36.067108	120.382609	46
Isfahan	Iran	32.654627	51.667983	46
Wenzhou	China	27.993828	120.699362	46
Kunshan	China	31.385598	120.980737	46
Penglai	China	37.810661	120.758848	46
EDIRNE	Turkey	41.67713	26.555715	45
Ningbo	China	29.868336	121.54399	45
Deyang	China	31.126856	104.397894	45
DENIZLI	Turkey	37.783016	29.096333	45
Yasuj	Iran	30.668383	51.587523	45
CORUM	Turkey	40.549926	34.953724	45
Shiraz	Iran	29.591768	52.583698	45
SKOPJE	The former Yugoslav Republic of Macedonia	41.997346	21.427996	45
Sintgaing	Myanmar	21.91597	95.962111	44
Thaungtha	Myanmar	16.955624	94.441363	44
Solapur	India	17.659919	75.906391	44
La Paz	Bolivia, Plurinational States of	-16.489689	-68.119294	44
Al-Fahaheel	Kuwait	29.080618	48.142019	44
Chennai	India	13.08268	80.270718	44
Baguio City	Philippines	16.402333	120.596007	44
Foshan	China	23.021479	113.121436	44
URFA	Turkey	37.167404	38.795515	44
Owerri	Nigeria	5.489059	7.017588	44
Ras Hayan	Bahrain	26.04	50.631389	44
Nalbari	India	26.444619	91.441053	44
Ramagundam	India	18.75955	79.481638	44
Mianyang	China	31.467495	104.678946	44
Balasore	India	21.486934	86.9246	44
Kohima	India	25.658596	94.105331	44
ADIYAMAN	Turkey	37.76365	38.277259	44
Santa Gertrudes – Jd. Luciana, INTERIOR DO ESTADO	Brazil	#N/A	#N/A	44
Dongguan	China	23.020673	113.7518	43
Lishui	China	28.46763	119.922796	43
Chaozhou	China	23.656704	116.622756	43
MUGLA	Turkey	37.215374	28.363394	43
Bhubneshwar	India	20.296059	85.82454	43
AYDIN	Turkey	37.838016	27.84556	43
Thimphu	Bhutan	27.472792	89.639286	43
KAHRAMANMARAS	Turkey	37.575275	36.922822	43
Korba	India	22.35945	82.75006	43
ZYWIEC	Poland	49.6913	19.182398	43
Robatkarim	Iran	#N/A	#N/A	43
Ujjain	India	23.179301	75.78491	43
ZONGULDAK	Turkey	41.453521	31.78938	43
